source,target,weight
ACT,COU,20.0
ACT,GPT,7.0
ACT,SFB,6.0
ACT,LNK,18.0
ACT,ROA,6.0
ACT,CLE,4.0
ACT,CMI,3.0
ACT,ELD,2.0
ACT,FFO,2.0
ACT,CAK,4.0
CNW,SAT,1.0
ACT,MSP,5.0
CNW,MSY,2.0
ACT,PAM,1.0
ACT,GNV,2.0
ACT,PIT,9.0
ACT,HMN,2.0
ACT,MDW,4.0
ACT,CMH,2.0
ACT,GRK,12.0
ACT,MCO,6.0
ACT,RFD,3.0
ACT,PNS,8.0
ACT,LEX,3.0
ACT,SBA,1.0
ACT,CAE,3.0
ACT,ELP,4.0
ACT,MOB,4.0
ACT,GRI,2.0
ACT,CID,3.0
ACT,JFK,5.0
ACT,ROC,2.0
ACT,CHS,3.0
ACT,YIP,2.0
ACT,BUF,2.0
ACT,YNG,1.0
CNW,IAD,1.0
ACT,CHA,2.0
ACT,ILG,2.0
ACT,CDC,1.0
ACT,DMA,4.0
ACT,FTW,1.0
ACT,AZA,1.0
ACT,PUW,2.0
ACT,HIK,1.0
ABE,ACT,1.0
ACT,SAF,1.0
ACT,EVV,1.0
ACT,BRO,3.0
ACT,DRT,1.0
BGR,THV,9.0
BWI,YUM,1.0
PHX,YUM,60347.0
LAX,YUM,21927.0
STL,YUM,3.0
LAS,YUM,404.0
SAN,YUM,12.0
FLG,YUM,12.0
HII,YUM,25.0
FLL,YUM,1.0
SEA,YUM,3.0
MSP,YUM,1.0
ABQ,YUM,5.0
ATL,YUM,2.0
JFK,YUM,3.0
ELP,YUM,30.0
GCK,YUM,1.0
BFI,YUM,3.0
DFW,YUM,17.0
OKC,YUM,55.0
LRD,YUM,14.0
ADS,YUM,6.0
TUS,YUM,70.0
LBL,YUM,5.0
DRT,YUM,1.0
YIP,YUM,8.0
AMA,YUM,5.0
SLN,YUM,30.0
DAL,YUM,15.0
MCI,YUM,19.0
SHV,YUM,1.0
IPL,YUM,3175.0
GJT,YUM,3.0
SBA,YUM,4.0
SFO,YUM,2.0
ICT,YUM,47.0
CHS,YUM,1.0
HSV,YUM,7.0
FWA,YUM,1.0
BGR,YUM,2.0
TUL,YUM,4.0
MSY,YUM,2.0
POB,YUM,3.0
IND,YUM,26.0
BFL,YUM,2.0
SNA,YUM,4.0
DQF,YUM,1.0
HNL,YUM,5.0
OMA,YUM,2.0
ANC,YUM,3.0
COS,YUM,3.0
IAD,YUM,2.0
TCM,YUM,5.0
EUG,YUM,1.0
HIK,YUM,1.0
OAK,YUM,2.0
LIT,YUM,2.0
SJC,YUM,1.0
SBP,YUM,3.0
SLC,YUM,937.0
ACT,YUM,1.0
FAT,YUM,3.0
FWH,YUM,2.0
AZA,YUM,2.0
FSM,YUM,1.0
CAK,SFO,4.0
CAK,CMH,49.0
CAK,LGA,12432.0
CAK,FWA,162.0
CAK,MDT,8.0
CAK,PIT,30470.0
CAK,DSM,7.0
CAK,ROC,16.0
CAK,IND,462.0
CAK,GRR,13.0
CAK,YNG,18196.0
CAK,LAX,6.0
ABQ,CAK,1.0
CAK,DAY,4390.0
CAK,EWR,24.0
CAK,TOL,656.0
CAK,DTW,40903.0
CAK,ORD,40164.0
ATL,CAK,71788.0
CAK,CLE,18521.0
CAK,CLT,21993.0
CAK,LAS,498.0
CAK,GRB,6.0
CAK,CVG,30588.0
CAK,GSO,19.0
CAK,PHL,7223.0
ACY,CAK,493.0
CAK,ISO,3.0
CAK,IAD,1011.0
CAK,TUS,1.0
CAK,TPA,4282.0
ABE,CAK,13.0
CAK,TYS,16.0
AZO,CAK,8.0
CAK,STL,16.0
CAK,SAN,0.0
CAK,LEX,9.0
CAK,SBN,28.0
CAK,TTN,1.0
CAK,MEM,61.0
CAK,MCO,8720.0
CAK,IAH,6.0
BOS,CAK,6730.0
CAK,FNT,5.0
CAK,DFW,7.0
ATW,CAK,4.0
BTV,CAK,4.0
CAK,MSP,43.0
BFF,CAK,6.0
CAK,DCA,678.0
CAK,OMA,90.0
CAK,RAP,10.0
CAK,SLC,27.0
CAK,RDU,10.0
CAK,LAN,6.0
BDL,CAK,18.0
CAK,SEA,2.0
BUF,CAK,27.0
CAK,MDW,5.0
CAK,CRW,16.0
BNA,CAK,9.0
CAK,MKE,38.0
CAK,MCI,31.0
CAK,PHX,5.0
CAK,MBS,5.0
CAK,LNK,6.0
CAK,JFK,5.0
AVP,CAK,8.0
ALB,CAK,8.0
CAK,LBF,3.0
CAK,SNA,1.0
CAK,MIA,7.0
CAK,YIP,60.0
CAK,SYR,37.0
BGM,CAK,4.0
CAK,SUS,2.0
CAK,JAX,3.0
CAK,RIC,10.0
CAK,PVD,7.0
BTL,CAK,1.0
CAK,ROA,9.0
CAK,PDK,1.0
BWI,CAK,20.0
CAK,RFD,10.0
CAK,DAL,5.0
BGR,CAK,3.0
CAK,ICT,2.0
CAK,GRI,3.0
CAK,LAF,2.0
CAK,MSN,5.0
CAK,RDG,111.0
CAK,LOZ,1.0
CAK,ITH,2.0
CAK,MHK,1.0
CAK,CHS,4.0
CAK,GSP,22.0
CAK,CID,3.0
CAK,ILG,3.0
CAK,SFB,13.0
CAK,LSE,3.0
CAK,TVC,2.0
CAK,SCE,7.0
CAK,FLL,447.0
CAK,CHO,2.0
CAK,MKG,1.0
CAK,HGR,1.0
CAK,MHT,2.0
CAK,MQT,2.0
CAK,SGF,4.0
CAK,LIT,2.0
CAK,CMI,2.0
CAK,MYR,3.0
CAK,OKC,5.0
CAK,NZC,1.0
CAK,CSG,3.0
CAK,SAT,1.0
CAK,UCA,1.0
CAK,PWM,6.0
CAK,FAY,2.0
CAK,OAK,2.0
CAK,YKM,2.0
CAK,SAV,1.0
CAK,TUL,2.0
CAK,JAN,2.0
CAK,RWI,2.0
CAK,XNA,2.0
CAK,POB,1.0
AGS,CAK,4.0
AVL,CAK,7.0
CAK,VLD,1.0
CAK,FLO,1.0
CAK,GPT,16.0
CAE,CAK,9.0
CAK,MSY,1.0
CAK,TCM,1.0
CAK,ELM,3.0
CAK,PDX,2.0
LTS,RCA,1.0
LTS,TUS,2.0
BTM,FCA,4333.0
BTM,GEG,10780.0
BIL,BTM,7048.0
BTM,MSO,1993.0
BTM,BZN,19770.0
BTM,GTF,555.0
BTM,HLN,14257.0
BTM,SLC,14460.0
BTM,LWS,27.0
BTM,PDX,7.0
BTM,SEA,5792.0
BLI,BTM,1.0
BTM,JAC,2.0
BTM,YIP,1.0
BTM,MSP,5.0
BTM,MKE,2.0
BTM,EUG,1.0
BTM,FAR,1.0
BTM,IDA,3.0
CIC,FAT,12.0
CIC,SNA,1.0
CIC,SMF,4736.0
CIC,RDD,32.0
BFL,CIC,6.0
CIC,SFO,28584.0
CEC,CIC,1481.0
CIC,EKA,2.0
CIC,SJC,1.0
CIC,SEA,1.0
DOV,MIA,233.0
DOV,JFK,712.0
DOV,LCK,4.0
DOV,LRD,1.0
DOV,LAX,15.0
DOV,DSM,1.0
DOV,RDU,2.0
DOV,SFO,1.0
ANC,DOV,4.0
COS,DOV,2.0
DOV,ORD,202.0
DOV,MEM,5.0
DOV,HMN,1.0
DOV,HSV,9.0
CHS,DOV,34.0
DOV,SAT,1.0
CLT,DOV,117.0
DOV,PHL,17.0
DAY,DOV,1.0
DOV,TOL,4.0
BWI,DOV,10.0
ATL,DOV,37.0
DOV,GSO,2.0
AUS,DOV,1.0
DOV,MYR,5.0
DOV,LBB,1.0
CAE,DOV,9.0
DOV,NKX,2.0
DOV,YIP,3.0
DOV,EFD,1.0
DOV,EWR,4.0
